evento,es_incendio,p_incendio
crasar:Cocodrie,0,0.008132
crasar:Cocodrie,0,0.872315
crasar:Cocodrie,0,0.273202
crasar:Cocodrie,0,0.004223
crasar:Cocodrie,0,0.057054
crasar:Cocodrie,0,0.006434
crasar:Cocodrie,0,0.994846
crasar:Cocodrie,0,0.020464
crasar:Cocodrie,0,0.033175
crasar:Cocodrie,0,0.007308
crasar:Cocodrie,0,0.000044
crasar:Cocodrie,0,0.001824
crasar:Cocodrie,0,0.029223
crasar:Cocodrie,0,0.795596
crasar:Cocodrie,0,0.001264
crasar:Cocodrie,0,0.003317
crasar:Cocodrie,0,0.069550
crasar:Cocodrie,0,0.000302
crasar:Cocodrie,0,0.120029
crasar:Cocodrie,0,0.015775
crasar:Cocodrie,0,0.291901
crasar:Cocodrie,0,0.000009
crasar:Cocodrie,0,0.000024
crasar:Cocodrie,0,0.000077
crasar:Cocodrie,0,0.021237
crasar:Cocodrie,0,0.236850
crasar:Cocodrie,0,0.018500
crasar:Cocodrie,0,0.000370
crasar:Cocodrie,0,0.000002
crasar:Cocodrie,0,0.000030
crasar:Cocodrie,0,0.000140
crasar:Cocodrie,0,0.048837
crasar:Cocodrie,0,0.468403
crasar:Cocodrie,0,0.009377
crasar:Cocodrie,0,0.001629
crasar:Cocodrie,0,0.000004
crasar:Cocodrie,0,0.003499
crasar:Cocodrie,0,0.020175
crasar:Cocodrie,0,0.656433
crasar:Cocodrie,0,0.102326
crasar:Cocodrie,0,0.052948
crasar:Cocodrie,0,0.000014
crasar:Cocodrie,0,0.005130
crasar:Cocodrie,0,0.159917
crasar:Cocodrie,0,0.007630
crasar:Cocodrie,0,0.010617
crasar:MussettBayouFire,1,0.298612
crasar:MussettBayouFire,1,0.000010
crasar:MussettBayouFire,1,0.092185
crasar:MussettBayouFire,1,0.000002
crasar:MussettBayouFire,1,0.002287
crasar:MussettBayouFire,1,0.020799
crasar:MussettBayouFire,1,0.000069
crasar:MussettBayouFire,1,0.000001
crasar:MussettBayouFire,1,0.043604
crasar:MussettBayouFire,1,0.000014
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.094017
crasar:MussettBayouFire,1,0.000105
crasar:MussettBayouFire,1,0.000296
crasar:MussettBayouFire,1,0.405911
crasar:MussettBayouFire,1,0.008493
crasar:MussettBayouFire,1,0.000015
crasar:MussettBayouFire,1,0.000011
crasar:MussettBayouFire,1,0.916700
crasar:MussettBayouFire,1,0.007338
crasar:MussettBayouFire,1,0.213568
crasar:MussettBayouFire,1,0.003953
crasar:MussettBayouFire,1,0.000001
crasar:MussettBayouFire,1,0.000063
crasar:MussettBayouFire,1,0.000094
crasar:MussettBayouFire,1,0.000075
crasar:MussettBayouFire,1,0.000003
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.009685
crasar:MussettBayouFire,1,0.000708
crasar:MussettBayouFire,1,0.891283
crasar:MussettBayouFire,1,0.000019
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.003224
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.106944
crasar:MussettBayouFire,1,0.000541
crasar:MussettBayouFire,1,0.338722
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.001233
crasar:MussettBayouFire,1,0.000022
crasar:MussettBayouFire,1,0.000083
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000357
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000139
crasar:MussettBayouFire,1,0.000127
crasar:MussettBayouFire,1,0.015154
crasar:MussettBayouFire,1,0.006934
crasar:MussettBayouFire,1,0.000003
crasar:MussettBayouFire,1,0.002070
crasar:MussettBayouFire,1,0.000270
crasar:MussettBayouFire,1,0.001189
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.005164
crasar:MussettBayouFire,1,0.000045
crasar:MussettBayouFire,1,0.027367
crasar:MussettBayouFire,1,0.046567
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000159
crasar:MussettBayouFire,1,0.011471
crasar:MussettBayouFire,1,0.000011
crasar:MussettBayouFire,1,0.355757
crasar:MussettBayouFire,1,0.000001
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000436
crasar:MussettBayouFire,1,0.072232
crasar:MussettBayouFire,1,0.001088
crasar:MussettBayouFire,1,0.000003
crasar:MussettBayouFire,1,0.008062
crasar:MussettBayouFire,1,0.015851
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000161
crasar:MussettBayouFire,1,0.000341
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000495
crasar:MussettBayouFire,1,0.025303
crasar:MussettBayouFire,1,0.000001
crasar:MussettBayouFire,1,0.000005
crasar:MussettBayouFire,1,0.001854
crasar:MussettBayouFire,1,0.058561
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000075
crasar:MussettBayouFire,1,0.009078
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000006
crasar:MussettBayouFire,1,0.000680
crasar:MussettBayouFire,1,0.008147
crasar:MussettBayouFire,1,0.000016
crasar:MussettBayouFire,1,0.000523
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000015
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000006
crasar:MussettBayouFire,1,0.000007
crasar:MussettBayouFire,1,0.417504
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000006
crasar:MussettBayouFire,1,0.033799
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.002136
crasar:MussettBayouFire,1,0.000010
crasar:MussettBayouFire,1,0.000451
crasar:MussettBayouFire,1,0.001363
crasar:MussettBayouFire,1,0.000661
crasar:MussettBayouFire,1,0.012087
crasar:MussettBayouFire,1,0.000792
crasar:MussettBayouFire,1,0.000046
crasar:MussettBayouFire,1,0.019551
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000133
crasar:MussettBayouFire,1,0.000060
crasar:MussettBayouFire,1,0.000000
crasar:MussettBayouFire,1,0.000024
crasar:MussettBayouFire,1,0.000052
crasar:MussettBayouFire,1,0.000925
crasar:Steinhatchee,0,0.992083
crasar:Steinhatchee,0,0.999919
crasar:Steinhatchee,0,0.921452
crasar:Steinhatchee,0,0.531777
crasar:Steinhatchee,0,0.644111
crasar:Steinhatchee,0,0.147011
crasar:Steinhatchee,0,0.931661
crasar:Steinhatchee,0,0.562699
crasar:Steinhatchee,0,0.977763
crasar:Steinhatchee,0,0.999984
crasar:Steinhatchee,0,0.958925
crasar:Steinhatchee,0,0.952188
crasar:Steinhatchee,0,0.227938
crasar:Steinhatchee,0,0.608416
crasar:Steinhatchee,0,0.993638
crasar:Steinhatchee,0,0.998521
crasar:Steinhatchee,0,0.990645
crasar:Steinhatchee,0,0.986161
crasar:Steinhatchee,0,0.998248
crasar:Steinhatchee,0,0.969422
crasar:Steinhatchee,0,0.998786
crasar:Steinhatchee,0,0.209339
crasar:Steinhatchee,0,0.990126
crasar:Steinhatchee,0,0.993096
crasar:Steinhatchee,0,0.931118
crasar:Steinhatchee,0,0.031782
crasar:Steinhatchee,0,0.770108
crasar:Steinhatchee,0,0.837983
crasar:Steinhatchee,0,0.001180
crasar:Steinhatchee,0,0.995310
crasar:Steinhatchee,0,0.998864
crasar:Steinhatchee,0,0.003927
crasar:Steinhatchee,0,0.860298
crasar:Steinhatchee,0,0.051427
crasar:Steinhatchee,0,0.945908
crasar:Steinhatchee,0,0.219541
crasar:Steinhatchee,0,0.510190
crasar:Steinhatchee,0,0.992523
kate_pd:turkiye,0,0.015635
kate_pd:turkiye,0,0.080466
kate_pd:turkiye,0,0.007817
kate_pd:turkiye,0,0.000489
kate_pd:turkiye,0,0.134341
kate_pd:turkiye,0,0.295659
kate_pd:turkiye,0,0.000029
kate_pd:turkiye,0,0.057306
kate_pd:turkiye,0,0.000019
kate_pd:turkiye,0,0.037868
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000020
kate_pd:turkiye,0,0.015232
kate_pd:turkiye,0,0.853020
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.002058
kate_pd:turkiye,0,0.001557
kate_pd:turkiye,0,0.000120
kate_pd:turkiye,0,0.055728
kate_pd:turkiye,0,0.014812
kate_pd:turkiye,0,0.181547
kate_pd:turkiye,0,0.024355
kate_pd:turkiye,0,0.039275
kate_pd:turkiye,0,0.011813
kate_pd:turkiye,0,0.002546
kate_pd:turkiye,0,0.784618
kate_pd:turkiye,0,0.001110
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.003566
kate_pd:turkiye,0,0.002371
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.002348
kate_pd:turkiye,0,0.177743
kate_pd:turkiye,0,0.384179
kate_pd:turkiye,0,0.018717
kate_pd:turkiye,0,0.000035
kate_pd:turkiye,0,0.005934
kate_pd:turkiye,0,0.097338
kate_pd:turkiye,0,0.012371
kate_pd:turkiye,0,0.000941
kate_pd:turkiye,0,0.000544
kate_pd:turkiye,0,0.001854
kate_pd:turkiye,0,0.000013
kate_pd:turkiye,0,0.000715
kate_pd:turkiye,0,0.000019
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.004789
kate_pd:turkiye,0,0.001140
kate_pd:turkiye,0,0.761665
kate_pd:turkiye,0,0.012794
kate_pd:turkiye,0,0.000067
kate_pd:turkiye,0,0.000191
kate_pd:turkiye,0,0.000087
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.009656
kate_pd:turkiye,0,0.000004
kate_pd:turkiye,0,0.002092
kate_pd:turkiye,0,0.000415
kate_pd:turkiye,0,0.001254
kate_pd:turkiye,0,0.000288
kate_pd:turkiye,0,0.013843
kate_pd:turkiye,0,0.000010
kate_pd:turkiye,0,0.004184
kate_pd:turkiye,0,0.000012
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000009
kate_pd:turkiye,0,0.000330
kate_pd:turkiye,0,0.000990
kate_pd:turkiye,0,0.000121
kate_pd:turkiye,0,0.000042
kate_pd:turkiye,0,0.001551
kate_pd:turkiye,0,0.002242
kate_pd:turkiye,0,0.000647
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000008
kate_pd:turkiye,0,0.000004
kate_pd:turkiye,0,0.000212
kate_pd:turkiye,0,0.006350
kate_pd:turkiye,0,0.002506
kate_pd:turkiye,0,0.000448
kate_pd:turkiye,0,0.000039
kate_pd:turkiye,0,0.040975
kate_pd:turkiye,0,0.000276
kate_pd:turkiye,0,0.033494
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.600792
kate_pd:turkiye,0,0.852982
kate_pd:turkiye,0,0.000636
kate_pd:turkiye,0,0.000064
kate_pd:turkiye,0,0.020951
kate_pd:turkiye,0,0.000302
kate_pd:turkiye,0,0.091649
kate_pd:turkiye,0,0.000411
kate_pd:turkiye,0,0.003386
kate_pd:turkiye,0,0.000122
kate_pd:turkiye,0,0.000099
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.001315
kate_pd:turkiye,0,0.067787
kate_pd:turkiye,0,0.000038
kate_pd:turkiye,0,0.002735
kate_pd:turkiye,0,0.000003
kate_pd:turkiye,0,0.000004
kate_pd:turkiye,0,0.000009
kate_pd:turkiye,0,0.000131
kate_pd:turkiye,0,0.006627
kate_pd:turkiye,0,0.002954
kate_pd:turkiye,0,0.002853
kate_pd:turkiye,0,0.000408
kate_pd:turkiye,0,0.020027
kate_pd:turkiye,0,0.017151
kate_pd:turkiye,0,0.000206
kate_pd:turkiye,0,0.000004
kate_pd:turkiye,0,0.010790
kate_pd:turkiye,0,0.006558
kate_pd:turkiye,0,0.006269
kate_pd:turkiye,0,0.022843
kate_pd:turkiye,0,0.000440
kate_pd:turkiye,0,0.006290
kate_pd:turkiye,0,0.000012
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.029977
kate_pd:turkiye,0,0.034477
kate_pd:turkiye,0,0.001516
kate_pd:turkiye,0,0.000497
kate_pd:turkiye,0,0.874716
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.061218
kate_pd:turkiye,0,0.075981
kate_pd:turkiye,0,0.000585
kate_pd:turkiye,0,0.000311
kate_pd:turkiye,0,0.000034
kate_pd:turkiye,0,0.081858
kate_pd:turkiye,0,0.011212
kate_pd:turkiye,0,0.043434
kate_pd:turkiye,0,0.029029
kate_pd:turkiye,0,0.000027
kate_pd:turkiye,0,0.000530
kate_pd:turkiye,0,0.004380
kate_pd:turkiye,0,0.014246
kate_pd:turkiye,0,0.002111
kate_pd:turkiye,0,0.001329
kate_pd:turkiye,0,0.000359
kate_pd:turkiye,0,0.015421
kate_pd:turkiye,0,0.020649
kate_pd:turkiye,0,0.368552
kate_pd:turkiye,0,0.000128
kate_pd:turkiye,0,0.024464
kate_pd:turkiye,0,0.000015
kate_pd:turkiye,0,0.000103
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.004049
kate_pd:turkiye,0,0.003026
kate_pd:turkiye,0,0.018667
kate_pd:turkiye,0,0.141143
kate_pd:turkiye,0,0.001545
kate_pd:turkiye,0,0.000007
kate_pd:turkiye,0,0.000901
kate_pd:turkiye,0,0.195445
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000641
kate_pd:turkiye,0,0.005171
kate_pd:turkiye,0,0.000060
kate_pd:turkiye,0,0.003412
kate_pd:turkiye,0,0.040116
kate_pd:turkiye,0,0.014103
kate_pd:turkiye,0,0.966916
kate_pd:turkiye,0,0.000128
kate_pd:turkiye,0,0.000431
kate_pd:turkiye,0,0.000025
kate_pd:turkiye,0,0.009635
kate_pd:turkiye,0,0.954619
kate_pd:turkiye,0,0.004797
kate_pd:turkiye,0,0.017149
kate_pd:turkiye,0,0.778736
kate_pd:turkiye,0,0.000010
kate_pd:turkiye,0,0.017110
kate_pd:turkiye,0,0.000889
kate_pd:turkiye,0,0.970414
kate_pd:turkiye,0,0.013439
kate_pd:turkiye,0,0.002721
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.000244
kate_pd:turkiye,0,0.001083
kate_pd:turkiye,0,0.000454
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.003860
kate_pd:turkiye,0,0.000007
kate_pd:turkiye,0,0.000012
kate_pd:turkiye,0,0.000007
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000041
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.006267
kate_pd:turkiye,0,0.003003
kate_pd:turkiye,0,0.000217
kate_pd:turkiye,0,0.000289
kate_pd:turkiye,0,0.000652
kate_pd:turkiye,0,0.064982
kate_pd:turkiye,0,0.013520
kate_pd:turkiye,0,0.010451
kate_pd:turkiye,0,0.000048
kate_pd:turkiye,0,0.066810
kate_pd:turkiye,0,0.015524
kate_pd:turkiye,0,0.015494
kate_pd:turkiye,0,0.000003
kate_pd:turkiye,0,0.080560
kate_pd:turkiye,0,0.009255
kate_pd:turkiye,0,0.000242
kate_pd:turkiye,0,0.010645
kate_pd:turkiye,0,0.035969
kate_pd:turkiye,0,0.007637
kate_pd:turkiye,0,0.021223
kate_pd:turkiye,0,0.006850
kate_pd:turkiye,0,0.004509
kate_pd:turkiye,0,0.142316
kate_pd:turkiye,0,0.008668
kate_pd:turkiye,0,0.011749
kate_pd:turkiye,0,0.000558
kate_pd:turkiye,0,0.049614
kate_pd:turkiye,0,0.000032
kate_pd:turkiye,0,0.000372
kate_pd:turkiye,0,0.005030
kate_pd:turkiye,0,0.002153
kate_pd:turkiye,0,0.000083
kate_pd:turkiye,0,0.000436
kate_pd:turkiye,0,0.712078
kate_pd:turkiye,0,0.000003
kate_pd:turkiye,0,0.000202
kate_pd:turkiye,0,0.001115
kate_pd:turkiye,0,0.000154
kate_pd:turkiye,0,0.006385
kate_pd:turkiye,0,0.006688
kate_pd:turkiye,0,0.000576
kate_pd:turkiye,0,0.000886
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.004782
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000534
kate_pd:turkiye,0,0.000042
kate_pd:turkiye,0,0.015846
kate_pd:turkiye,0,0.011738
kate_pd:turkiye,0,0.007021
kate_pd:turkiye,0,0.000712
kate_pd:turkiye,0,0.000062
kate_pd:turkiye,0,0.000033
kate_pd:turkiye,0,0.000004
kate_pd:turkiye,0,0.000003
kate_pd:turkiye,0,0.000005
kate_pd:turkiye,0,0.005629
kate_pd:turkiye,0,0.000926
kate_pd:turkiye,0,0.005528
kate_pd:turkiye,0,0.001102
kate_pd:turkiye,0,0.022443
kate_pd:turkiye,0,0.003672
kate_pd:turkiye,0,0.000004
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.042428
kate_pd:turkiye,0,0.003217
kate_pd:turkiye,0,0.960497
kate_pd:turkiye,0,0.012299
kate_pd:turkiye,0,0.027614
kate_pd:turkiye,0,0.004275
kate_pd:turkiye,0,0.000488
kate_pd:turkiye,0,0.027614
kate_pd:turkiye,0,0.000339
kate_pd:turkiye,0,0.000797
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.000426
kate_pd:turkiye,0,0.000696
kate_pd:turkiye,0,0.004815
kate_pd:turkiye,0,0.000289
kate_pd:turkiye,0,0.150475
kate_pd:turkiye,0,0.006977
kate_pd:turkiye,0,0.001795
kate_pd:turkiye,0,0.000285
kate_pd:turkiye,0,0.002576
kate_pd:turkiye,0,0.025428
kate_pd:turkiye,0,0.015010
kate_pd:turkiye,0,0.056347
kate_pd:turkiye,0,0.028676
kate_pd:turkiye,0,0.000063
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.000516
kate_pd:turkiye,0,0.000065
kate_pd:turkiye,0,0.004901
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.002721
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.004448
kate_pd:turkiye,0,0.000649
kate_pd:turkiye,0,0.019960
kate_pd:turkiye,0,0.015179
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.006999
kate_pd:turkiye,0,0.000002
kate_pd:turkiye,0,0.000476
kate_pd:turkiye,0,0.016508
kate_pd:turkiye,0,0.000120
kate_pd:turkiye,0,0.010936
kate_pd:turkiye,0,0.106809
kate_pd:turkiye,0,0.003279
kate_pd:turkiye,0,0.000066
kate_pd:turkiye,0,0.003992
kate_pd:turkiye,0,0.004068
kate_pd:turkiye,0,0.000234
kate_pd:turkiye,0,0.772028
kate_pd:turkiye,0,0.013012
kate_pd:turkiye,0,0.012383
kate_pd:turkiye,0,0.005126
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000191
kate_pd:turkiye,0,0.000007
kate_pd:turkiye,0,0.010230
kate_pd:turkiye,0,0.011511
kate_pd:turkiye,0,0.003878
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000046
kate_pd:turkiye,0,0.016229
kate_pd:turkiye,0,0.001420
kate_pd:turkiye,0,0.001506
kate_pd:turkiye,0,0.000536
kate_pd:turkiye,0,0.019235
kate_pd:turkiye,0,0.063077
kate_pd:turkiye,0,0.007638
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.027053
kate_pd:turkiye,0,0.000179
kate_pd:turkiye,0,0.002361
kate_pd:turkiye,0,0.828926
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.139907
kate_pd:turkiye,0,0.004684
kate_pd:turkiye,0,0.000342
kate_pd:turkiye,0,0.006051
kate_pd:turkiye,0,0.000072
kate_pd:turkiye,0,0.001087
kate_pd:turkiye,0,0.025031
kate_pd:turkiye,0,0.000078
kate_pd:turkiye,0,0.001818
kate_pd:turkiye,0,0.005667
kate_pd:turkiye,0,0.000914
kate_pd:turkiye,0,0.000164
kate_pd:turkiye,0,0.000093
kate_pd:turkiye,0,0.267703
kate_pd:turkiye,0,0.001357
kate_pd:turkiye,0,0.000607
kate_pd:turkiye,0,0.003139
kate_pd:turkiye,0,0.001050
kate_pd:turkiye,0,0.000008
kate_pd:turkiye,0,0.109278
kate_pd:turkiye,0,0.001052
kate_pd:turkiye,0,0.712408
kate_pd:turkiye,0,0.033865
kate_pd:turkiye,0,0.001038
kate_pd:turkiye,0,0.028980
kate_pd:turkiye,0,0.010843
kate_pd:turkiye,0,0.000784
kate_pd:turkiye,0,0.005331
kate_pd:turkiye,0,0.002165
kate_pd:turkiye,0,0.000794
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.020872
kate_pd:turkiye,0,0.069148
kate_pd:turkiye,0,0.010577
kate_pd:turkiye,0,0.007514
kate_pd:turkiye,0,0.000119
kate_pd:turkiye,0,0.000344
kate_pd:turkiye,0,0.033597
kate_pd:turkiye,0,0.001056
kate_pd:turkiye,0,0.002354
kate_pd:turkiye,0,0.001915
kate_pd:turkiye,0,0.445293
kate_pd:turkiye,0,0.003068
kate_pd:turkiye,0,0.000135
kate_pd:turkiye,0,0.000010
kate_pd:turkiye,0,0.000012
kate_pd:turkiye,0,0.007030
kate_pd:turkiye,0,0.000065
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.019089
kate_pd:turkiye,0,0.178314
kate_pd:turkiye,0,0.002331
kate_pd:turkiye,0,0.000027
kate_pd:turkiye,0,0.002175
kate_pd:turkiye,0,0.000638
kate_pd:turkiye,0,0.001696
kate_pd:turkiye,0,0.028186
kate_pd:turkiye,0,0.001018
kate_pd:turkiye,0,0.001767
kate_pd:turkiye,0,0.000229
kate_pd:turkiye,0,0.566662
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000328
kate_pd:turkiye,0,0.000256
kate_pd:turkiye,0,0.001419
kate_pd:turkiye,0,0.002682
kate_pd:turkiye,0,0.002098
kate_pd:turkiye,0,0.001401
kate_pd:turkiye,0,0.030875
kate_pd:turkiye,0,0.181952
kate_pd:turkiye,0,0.002993
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.303845
kate_pd:turkiye,0,0.000239
kate_pd:turkiye,0,0.641481
kate_pd:turkiye,0,0.003449
kate_pd:turkiye,0,0.045615
kate_pd:turkiye,0,0.235900
kate_pd:turkiye,0,0.424821
kate_pd:turkiye,0,0.783658
kate_pd:turkiye,0,0.005730
kate_pd:turkiye,0,0.011692
kate_pd:turkiye,0,0.707159
kate_pd:turkiye,0,0.003122
kate_pd:turkiye,0,0.138715
kate_pd:turkiye,0,0.000030
kate_pd:turkiye,0,0.063996
kate_pd:turkiye,0,0.017093
kate_pd:turkiye,0,0.005379
kate_pd:turkiye,0,0.036779
kate_pd:turkiye,0,0.002746
kate_pd:turkiye,0,0.000028
kate_pd:turkiye,0,0.003891
kate_pd:turkiye,0,0.073259
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000930
kate_pd:turkiye,0,0.001693
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.000100
kate_pd:turkiye,0,0.007270
kate_pd:turkiye,0,0.001637
kate_pd:turkiye,0,0.027691
kate_pd:turkiye,0,0.000243
kate_pd:turkiye,0,0.007567
kate_pd:turkiye,0,0.000064
kate_pd:turkiye,0,0.002139
kate_pd:turkiye,0,0.009260
kate_pd:turkiye,0,0.000099
kate_pd:turkiye,0,0.036745
kate_pd:turkiye,0,0.008564
kate_pd:turkiye,0,0.000006
kate_pd:turkiye,0,0.001205
kate_pd:turkiye,0,0.002386
kate_pd:turkiye,0,0.000009
kate_pd:turkiye,0,0.000042
kate_pd:turkiye,0,0.000008
kate_pd:turkiye,0,0.000007
kate_pd:turkiye,0,0.000015
kate_pd:turkiye,0,0.008010
kate_pd:turkiye,0,0.004989
kate_pd:turkiye,0,0.000007
kate_pd:turkiye,0,0.005244
kate_pd:turkiye,0,0.000000
kate_pd:turkiye,0,0.005687
kate_pd:turkiye,0,0.022700
kate_pd:turkiye,0,0.003145
kate_pd:turkiye,0,0.000014
kate_pd:turkiye,0,0.052411
kate_pd:turkiye,0,0.000053
kate_pd:turkiye,0,0.000087
kate_pd:turkiye,0,0.045605
kate_pd:turkiye,0,0.029075
kate_pd:turkiye,0,0.000727
kate_pd:turkiye,0,0.011052
kate_pd:turkiye,0,0.000009
kate_pd:turkiye,0,0.005050
kate_pd:turkiye,0,0.000001
kate_pd:turkiye,0,0.001072
kate_pd:turkiye,0,0.005253
kate_pd:turkiye,0,0.000024
kate_pd:turkiye,0,0.000146
kate_pd:turkiye,0,0.000246
kate_pd:turkiye,0,0.001445
kate_pd:turkiye,0,0.036093
kate_pd:turkiye,0,0.000103
kate_pd:turkiye,0,0.761385
kate_pd:turkiye,0,0.011532
kate_pd:turkiye,0,0.000036
kate_pd:turkiye,0,0.295474
kate_pd:turkiye,0,0.004158
kate_pd:turkiye,0,0.001987
kate_pd:turkiye,0,0.004219
kate_pd:turkiye,0,0.004525
kate_pd:turkiye,0,0.000006
kate_pd:turkiye,0,0.002031
kate_pd:turkiye,0,0.000007
kate_pd:turkiye,0,0.001413
kate_pd:turkiye,0,0.000426
kate_pd:turkiye,0,0.217211
kate_pd:turkiye,0,0.003629
